source_airport,destination_airport
AAL,BCN
AAL,OSL
AAL,AAR
AAL,PMI
AAL,LGW
AAL,CPH
AAL,ALC
AAL,SVG
AAL,BLL
AAL,AGP
AAL,ARN
AAL,AMS
AAR,STN
AAR,OSL
AAR,PMI
AAR,AGP
AAR,CPH
AAR,AAL
AAR,BMA
AAR,GOT
ABZ,BRS
ABZ,DUB
ABZ,CPH
ABZ,KSU
ABZ,FRA
ABZ,NWI
ABZ,LBA
ABZ,RIX
ABZ,WIC
ABZ,SYY
ABZ,NCL
ABZ,MME
ABZ,LHR
ABZ,HUY
ABZ,EMA
ABZ,CDG
ABZ,AMS
ABZ,BGO
ABZ,OSL
ABZ,LTN
ABZ,EBJ
ABZ,SVG
ABZ,LCY
ABZ,LGW
ABZ,BHD
ABZ,BHX
ABZ,KOI
ABZ,LSI
ABZ,MAN
ACH,EBA
ACH,VIE
ACI,GCI
ACI,SOU
ADA,ESB
ADA,ADB
ADA,AYT
ADA,SAW
ADA,TZX
ADA,VAN
ADB,BRU
ADB,SXB
ADB,NTE
ADB,LYS
ADB,HEL
ADB,HAJ
ADB,BRE
ADB,CPH
ADB,CGN
ADB,TXL
ADB,ARN
ADB,LUX
ADB,LGW
ADB,HAM
ADB,FRA
ADB,VIE
ADB,ADA
ADB,BHX
ADB,BSL
ADB,DIY
ADB,DUS
ADB,ESB
ADB,EZS
ADB,GNY
ADB,GZT
ADB,HTY
ADB,MQM
ADB,SAW
ADB,STN
ADB,STR
ADB,TZX
ADB,VAS
ADB,ATH
ADB,ASR
ADB,AYT
ADB,ZRH
ADB,MUC
ADB,DTM
ADB,AMS
ADB,MAN
ADB,CDG
ADB,DUB
ADF,ESB
AES,ALC
AES,GDN
AES,LGW
AES,OSL
AES,VNO
AES,TRD
AES,RIX
AES,AMS
AES,BGO
AES,CPH
AGB,MRS
AGF,DCM
AGF,ORY
AGH,ARN
AGH,BMA
AGP,LIS
AGP,MAD
AGP,MLN
AGP,NTE
AGP,ORY
AGP,CDG
AGP,HAJ
AGP,LYS
AGP,KRK
AGP,VIE
AGP,AMS
AGP,AAL
AGP,ARN
AGP,BGO
AGP,CPH
AGP,GOT
AGP,OSL
AGP,RYG
AGP,LIL
AGP,EXT
AGP,BHD
AGP,TLS
AGP,MAN
AGP,MMX
AGP,FCO
AGP,HEL
AGP,MXP
AGP,BVE
AGP,LUX
AGP,AAR
AGP,BCN
AGP,BGY
AGP,SEN
AGP,SXF
AGP,BHX
AGP,CGN
AGP,DUS
AGP,LTN
AGP,HAM
AGP,MUC
AGP,SOF
AGP,PMI
AGP,SOU
AGP,RTM
AGP,LPL
AGP,BOD
AGP,SNN
AGP,ORK
AGP,DUB
AGP,SVG
AGP,VLC
AGP,OVD
AGP,IBZ
AGP,TRD
AGP,WAW
AGP,DTM
AGP,EDI
AGP,EIN
AGP,TRF
AGP,FKB
AGP,LCY
AGP,WRO
AGP,MRS
AGP,NOC
AGP,FMM
AGP,FMO
AGP,GSE
AGP,HAU
AGP,CRL
AGP,HHN
AGP,NUE
AGP,NYO
AGP,PIK
AGP,SCQ
AGP,SDR
AGP,VST
AGP,TSF
AGP,FRA
AGP,STN
AGP,PRG
AGP,TMP
AGP,LHR
AGP,LBA
AGP,NRN
AGP,CIA
AGP,EMA
AGP,BTS
AGP,CWL
AGP,BIO
AGP,NCL
AGP,GLA
AGP,BLK
AGP,BFS
AGP,LGW
AGP,BUD
AGP,ZRH
AGP,GVA
AGP,BLL
AGP,BLQ
AGP,BVA
AGP,TXL
AGP,STR
AGP,BSL
AGP,BRU
AGP,BRS
AGP,BRE
AGP,BOH
AHO,BLQ
AHO,BTS
AHO,BVA
AHO,BLL
AHO,BGY
AHO,AOI
AHO,CIA
AHO,DTM
AHO,GRO
AHO,NYO
AHO,NRN
AHO,CRL
AHO,FMM
AHO,EIN
AHO,DUB
AHO,CUF
AHO,MXP
AHO,LTN
AHO,HHN
AHO,GSE
AHO,PMF
AHO,MAD
AHO,PSA
AHO,TSF
AHO,LIN
AHO,TRN
AHO,FCO
AHO,STN
AHO,TRS
AHO,TRF
AHO,OTP
AJA,DCM
AJA,PIS
AJA,LGW
AJA,NTE
AJA,LIL
AJA,AVN
AJA,ARN
AJA,OSL
AJA,LGG
AJA,LYS
AJA,MRS
AJA,TLS
AJA,ORY
AJA,BVE
AJA,OLB
AJA,NCE
AJA,MPL
AJA,GVA
AJA,CDG
AJA,SXB
AJA,LUX
AJA,CFR
AJA,BOD
AJA,BSL
AJA,BES
AJI,ESB
AJR,LYC
ALC,OUL
ALC,VXO
ALC,WMI
ALC,KSD
ALC,WRO
ALC,DUB
ALC,ORK
ALC,LGW
ALC,BFS
ALC,BLK
ALC,UME
ALC,GLA
ALC,NCL
ALC,MOL
ALC,BHX
ALC,VST
ALC,TRF
ALC,TRD
ALC,TOS
ALC,TKU
ALC,SOU
ALC,EXT
ALC,SVG
ALC,RYG
ALC,OSL
ALC,RTM
ALC,PIK
ALC,STN
ALC,AMS
ALC,DUS
ALC,FRA
ALC,HAM
ALC,MUC
ALC,PMI
ALC,STR
ALC,TXL
ALC,ZRH
ALC,KIR
ALC,KRK
ALC,KTW
ALC,KUN
ALC,BSL
ALC,LTN
ALC,SEN
ALC,LBA
ALC,LPL
ALC,MAN
ALC,MST
ALC,NOC
ALC,NRN
ALC,NUE
ALC,NYO
ALC,SNN
ALC,TMP
ALC,GVA
ALC,SCQ
ALC,BIO
ALC,FCO
ALC,BLL
ALC,BGO
ALC,ARN
ALC,AES
ALC,AAL
ALC,CWL
ALC,MAD
ALC,BCN
ALC,EMA
ALC,EIN
ALC,BVA
ALC,BRU
ALC,BRS
ALC,BRE
ALC,BOH
ALC,IBZ
ALC,BLQ
ALC,BGY
ALC,FKB
ALC,FMM
ALC,ORY
ALC,HAU
ALC,CGN
ALC,GOT
ALC,EDI
ALC,CPH
ALC,CRL
ALC,HEL
ALC,EVE
ALC,GSE
ALC,KRS
ALC,HHN
ALF,VDS
ALF,KKN
ALF,LKL
ALF,TOS
ALF,OSL
ALF,SOJ
ALF,HFT
AMS,ADB
AMS,FRA
AMS,AGP
AMS,ALC
AMS,BLQ
AMS,ATH
AMS,KRK
AMS,AYT
AMS,BCN
AMS,BJV
AMS,BFS
AMS,SOF
AMS,BRI
AMS,BLL
AMS,BGO
AMS,AJA
AMS,BRE
AMS,NUE
AMS,CGN
AMS,DUS
AMS,CWL
AMS,KBP
AMS,GVA
AMS,EDI
AMS,LPI
AMS,LUX
AMS,MAD
AMS,MUC
AMS,BUD
AMS,CFE
AMS,SXB
AMS,NCL
AMS,BRU
AMS,OTP
AMS,ABZ
AMS,PRG
AMS,BRS
AMS,GOT
AMS,IBZ
AMS,STR
AMS,VXO
AMS,BEG
AMS,DUB
AMS,ORK
AMS,MSQ
AMS,LHR
AMS,ARN
AMS,LEJ
AMS,AES
AMS,AAL
AMS,LGW
AMS,DBV
AMS,WAW
AMS,ZAG
AMS,EMA
AMS,EXT
AMS,INV
AMS,CPH
AMS,CTA
AMS,LIN
AMS,PMO
AMS,SOU
AMS,ZRH
AMS,HEL
