name,city,country,IATA,latitude,longitude,population
Aalborg Airport,Aalborg,Denmark,AAL,57.0927589138,9.84924316406,543701
Aarhus Airport,Aarhus,Denmark,AAR,56.2999992371,10.619000434899998,440246
Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ,57.20190048217773,-2.197779893875122,632086
St Gallen Altenrhein Airport,Altenrhein,Switzerland,ACH,47.4850006104,9.560770034789998,341919
Alderney Airport,Alderney,Guernsey,ACI,49.706104,-2.21472,227435
Adana Airport,Adana,Turkey,ADA,36.9822006226,35.2803993225,5179925
Adnan Menderes International Airport,Izmir,Turkey,ADB,38.2924003601,27.156999588,2343630
Adıyaman Airport,Adiyaman,Turkey,ADF,37.7313995361,38.4688987732,1729676
Ålesund Airport,Alesund,Norway,AES,62.5625,6.119699954986572,109538
Augsburg Airport,Augsburg,Germany,AGB,48.425278,10.931667,184770
Agen-La Garenne Airport,Agen,France,AGF,44.17470169067383,0.5905560255050659,314930
Ängelholm-Helsingborg Airport,Ängelholm,Sweden,AGH,56.29610061645508,12.847100257873535,185273
Málaga Airport,Malaga,Spain,AGP,36.67490005493164,-4.499110221862793,7472988
Alghero-Fertilia Airport,Alghero,Italy,AHO,40.632099,8.29077,392545
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,41.92359924316406,8.8029203414917,256652
Ağrı Airport,Agri,Turkey,AJI,39.654541015625,43.025978088378906,560978
Arvidsjaur Airport,Arvidsjaur,Sweden,AJR,65.59030151367188,19.28190040588379,51860
Alicante International Airport,Alicante,Spain,ALC,38.28219985961914,-0.5581560134887695,3985071
Alta Airport,Alta,Norway,ALF,69.976097106934,23.371700286865,24608
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601,4.76389,12498155
Angoulême-Brie-Champniers Airport,Angouleme,France,ANG,45.72919845581055,0.2214560061693191,269636
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.46027994156,201041
Andøya Airport,Andoya,Norway,ANX,69.292503356934,16.144199371338,23147
Anadolu Airport,Eskissehir,Turkey,AOE,39.809898,30.5194,465324
Ancona Falconara Airport,Ancona,Italy,AOI,43.616299,13.3623,499109
Karpathos Airport,Karpathos,Greece,AOK,35.4213981628418,27.145999908447266,46091
Stockholm-Arlanda Airport,Stockholm,Sweden,ARN,59.651901245117,17.918600082397,2661081
Arad International Airport,Arad,Romania,ARW,46.17660140991211,21.261999130249023,464453
Kayseri Erkilet Airport,Kayseri,Turkey,ASR,38.770401001,35.4953994751,1596627
Eleftherios Venizelos International Airport,Athens,Greece,ATH,37.9364013672,23.9444999695,3227509
Aurillac Airport,Aurillac,France,AUR,44.89139938354492,2.4219400882720947,249058
Avignon-Caumont Airport,Avignon,France,AVN,43.90729904174805,4.901830196380615,247074
Dimokritos Airport,Alexandroupolis,Greece,AXD,40.855899810791016,25.956300735473636,418639
Antalya International Airport,Antalya,Turkey,AYT,36.898701,30.800501,3037813
Batman Airport,Batman,Turkey,BAL,37.9290008545,41.1166000366,1594952
Tautii Magheraus Airport,Baia Mare,Romania,BAY,47.65840148925781,23.46999931335449,747324
Barcelona International Airport,Barcelona,Spain,BCN,41.2971,2.07846,5148390
Brindisi – Salento Airport,Brindisi,Italy,BDS,40.6576,17.947001,981338
Bardufoss Airport,Bardufoss,Norway,BDU,69.055801391602,18.540399551392,9790
Benbecula Airport,Benbecula,United Kingdom,BEB,57.48109817504883,-7.362780094146728,50714
Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,44.8184013367,20.3090991974,4943008
Brest Bretagne Airport,Brest,France,BES,48.447898864746094,-4.418540000915527,451587
Belfast International Airport,Belfast,United Kingdom,BFS,54.6575012207,-6.21582984924,830631
Bingöl Çeltiksuyu Airport,Bingol,Turkey,BGG,38.8592605591,40.5959625244,875460
Bergen Airport Flesland,Bergen,Norway,BGO,60.29339981,5.218140125,532094
Il Caravaggio International Airport,Bergamo,Italy,BGY,45.673901,9.70417,4487515
George Best Belfast City Airport,Belfast,United Kingdom,BHD,54.61809921264648,-5.872499942779541,725582
Birmingham International Airport,Birmingham,United Kingdom,BHX,52.4538993835,-1.74802994728,4865362
Bastia-Poretta Airport,Bastia,France,BIA,42.55270004272461,9.48373031616211,501052
Bilbao Airport,Bilbao,Spain,BIO,43.30110168457031,-2.9106099605560303,1937302
Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,BIQ,43.4683333,-1.5311111,1030101
Båtsfjord Airport,Batsfjord,Norway,BJF,70.60050201416,29.691400527954,64938
Milas Bodrum International Airport,Bodrum,Turkey,BJV,37.25059890749999,27.6643009186,910071
Badajoz Airport,Badajoz,Spain,BJZ,38.891300201416016,-6.8213300704956055,359080
Borlange Airport,Borlange,Sweden,BLE,60.422000885009766,15.515199661254885,136922
Blackpool International Airport,Blackpool,United Kingdom,BLK,53.77170181274414,-3.0286099910736084,523255
Billund Airport,Billund,Denmark,BLL,55.7402992249,9.15178012848,1624445
Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,44.5354,11.2887,2928530
Stockholm-Bromma Airport,Stockholm,Sweden,BMA,59.354400634765625,17.941699981689453,506690
Brønnøysund Airport,Bronnoysund,Norway,BNN,65.461097717285,12.217499732971,32444
Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina,BNX,44.94139862060547,17.297500610351562,400822
Bordeaux-Mérignac Airport,Bordeaux,France,BOD,44.8283004761,-0.715556025505,2735865
Bournemouth Airport,Bournemouth,United Kingdom,BOH,50.77999877929688,-1.8424999713897705,685928
Burgas Airport,Bourgas,Bulgaria,BOJ,42.56959915161133,27.515199661254883,2774840
Bodø Airport,Bodo,Norway,BOO,67.26920318603516,14.365300178527832,71988
Bremen Airport,Bremen,Germany,BRE,53.0475006104,8.78666973114,2576350
Bari Karol Wojtyła Airport,Bari,Italy,BRI,41.138901,16.760599,2546333
Bern Belp Airport,Bern,Switzerland,BRN,46.914100647,7.497149944309999,792371
Brno-Tuřany Airport,Brno,Czech Republic,BRQ,49.15129852294922,16.694400787353516,437737
Barra Airport,Barra,United Kingdom,BRR,57.0228,-7.44306,49851
Bristol Airport,Bristol,United Kingdom,BRS,51.382702,-2.71909,3204335
Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.48443984985,7692796
EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,BSL,47.59,7.5291667,3134358
M. R. Štefánik Airport,Bratislava,Slovakia,BTS,48.17020034790039,17.21269989013672,1442677
Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,47.42976,19.261093,6264946
Paris Beauvais Tillé Airport,Beauvais,France,BVA,49.45439910888672,2.1127800941467285,2228711
Brive Souillac Airport,Brive,France,BVE,45.039722,1.485556,451131
Berlevåg Airport,Berlevag,Norway,BVG,70.871399,29.034201,29185
Bol Airport,Brac,Croatia,BWK,43.28570175170898,16.67970085144043,143815
Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,Poland,BZG,53.0968017578,17.9776992798,765053
Bolzano Airport,Bolzano,Italy,BZO,46.460201,11.3264,237761
Béziers-Vias Airport,Beziers,France,BZR,43.32350158691406,3.353899955749512,540570
Cagliari Elmas Airport,Cagliari,Italy,CAG,39.251499,9.05428,557435
Campbeltown Airport,Campbeltown,United Kingdom,CAL,55.437198638916016,-5.686389923095703,139652
Carcassonne Airport,Carcassonne,France,CCF,43.21599960327149,2.3063199520111084,638591
Charles de Gaulle International Airport,Paris,France,CDG,49.012798,2.55,10839045
Hawarden Airport,Hawarden,United Kingdom,CEG,53.1781005859375,-2.977780103683472,275257
Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,France,CFE,45.7867012024,3.1691699028,467076
Donegal Airport,Dongloe,Ireland,CFN,55.0442008972168,-8.340999603271484,110985
Caen-Carpiquet Airport,Caen,France,CFR,49.173301696777344,-0.449999988079071,443694
Ioannis Kapodistrias International Airport,Kerkyra/corfu,Greece,CFU,39.601898193359375,19.911699295043945,1176213
Cologne Bonn Airport,Cologne,Germany,CGN,50.8658981323,7.1427397728,5098721
Chania International Airport,Chania,Greece,CHQ,35.531700134277344,24.14970016479492,139117
Ciampino–G. B. Pastine International Airport,Rome,Italy,CIA,41.7994,12.5949,2110291
Comiso Airport,Comiso,Italy,CIY,36.994601,14.607182,363720
Çanakkale Airport,Canakkale,Turkey,CKZ,40.1376991272,26.4267997742,364436
Cluj-Napoca International Airport,Cluj-napoca,Romania,CLJ,46.78519821166992,23.686199188232425,2719194
Calvi-Sainte-Catherine Airport,Calvi,France,CLY,42.5244444,8.7930556,192817
Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,55.617900848389,12.656000137329,3915322
Craiova Airport,Craiova,Romania,CRA,44.31809997558594,23.888599395751957,973101
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202,4.45382,5016315
Catania-Fontanarossa Airport,Catania,Italy,CTA,37.466801,15.0664,2025865
Cuneo International Airport,Cuneo,Italy,CUF,44.547001,7.62322,387006
