name,city,country,IATA,latitude,longitude,population
Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.809174,2117569
Aalborg Airport,Aalborg,Denmark,AAL,57.0927589138,9.84924316406,543701
Al Ain International Airport,Al Ain,United Arab Emirates,AAN,24.261699676513672,55.60919952392578,153045
Anapa Vityazevo Airport,Anapa,Russia,AAQ,45.002101898193,37.347301483154,584634
Aarhus Airport,Aarhus,Denmark,AAR,56.2999992371,10.619000434899998,440246
Altay Air Base,Altay,China,AAT,47.7498855591,88.08580780030002,498808
Romeu Zema Airport,Araxa,Brazil,AAX,-19.563199996948,-46.960399627686,493762
Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,AAY,16.191699981689453,52.17499923706055,128348
Abakan Airport,Abakan,Russia,ABA,53.7400016784668,91.38500213623048,689253
Asaba International Airport,Asaba,Nigeria,ABB,6.204167,6.665278,7931247
Abadan Airport,Abadan,Iran,ABD,30.371099472,48.2282981873,1303983
Lehigh Valley International Airport,Allentown,United States,ABE,40.652099609375,-75.44080352783203,707841
Abilene Regional Airport,Abilene,United States,ABI,32.4113006592,-99.6819000244,137394
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209197998,-3.9262900352478023,11578814
Ambler Airport,Ambler,United States,ABL,67.1063,-157.856989,539
Northern Peninsula Airport,Amberley,Australia,ABM,-10.9508,142.459,4078
Albuquerque International Sunport,Albuquerque,United States,ABQ,35.040199,-106.609001,814543
Aberdeen Regional Airport,Aberdeen,United States,ABR,45.449100494384766,-98.42179870605467,86507
Abu Simbel Airport,Abu Simbel,Egypt,ABS,22.3759994507,31.611700058,140194
Al Baha Airport,El-baha,Saudi Arabia,ABT,20.2961006165,41.6343002319,631299
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412,29310002
Albury Airport,Albury,Australia,ABX,-36.06779861450195,146.95799255371094,175411
Southwest Georgia Regional Airport,Albany,United States,ABY,31.535499572753903,-84.19450378417969,182452
