source_airport,destination_airport
AAE,IST
AAE,ORY
AAE,CDG
AAE,ORN
AAE,ALG
AAE,MRS
AAE,LYS
AAL,SVG
AAL,LGW
AAL,BCN
AAL,AMS
AAL,CPH
AAL,IST
AAL,AGP
AAL,OSL
AAL,AAR
AAL,ARN
AAL,ALC
AAL,PMI
AAL,BLL
AAN,PEW
AAN,CCJ
AAQ,SVO
AAQ,DME
AAQ,LED
AAR,CPH
AAR,GOT
AAR,STN
AAR,BMA
AAR,AAL
AAR,PMI
AAR,OSL
AAR,AGP
AAT,URC
AAX,POJ
AAY,SAH
ABA,IKT
ABA,SVO
ABA,NSK
ABA,DME
ABB,ABV
ABB,LOS
ABD,MHD
ABD,SYZ
ABD,THR
ABE,SFB
ABE,CLT
ABE,PHL
ABE,ATL
ABE,MYR
ABE,PGD
ABE,PIE
ABE,DTW
ABE,ORD
ABI,DFW
ABJ,ACC
ABJ,ORY
ABJ,BRU
ABJ,FNA
ABJ,BKO
ABJ,IST
ABJ,DLA
ABJ,CDG
ABJ,CMN
ABJ,COO
ABJ,CKY
ABJ,ROB
ABJ,ALG
ABJ,DKR
ABJ,LOS
ABJ,BOY
ABJ,LBV
ABJ,NBO
ABJ,TUN
ABJ,LFW
ABJ,OUA
ABL,OTZ
ABL,SHG
ABM,CNS
ABQ,IAH
ABQ,SFO
ABQ,CNM
ABQ,DEN
ABQ,LAS
ABQ,JFK
ABQ,ATL
ABQ,MCI
ABQ,SLC
ABQ,MSP
ABQ,MDW
ABQ,LAM
ABQ,PDX
ABQ,PHX
ABQ,HOU
ABQ,SEA
ABQ,BWI
ABQ,SAN
ABQ,OAK
ABQ,ORD
ABQ,DAL
ABQ,LAX
ABQ,DFW
ABR,MSP
ABS,ASW
ABT,JED
ABT,RUH
ABT,DMM
ABV,ADD
ABV,COO
ABV,LFW
ABV,NIM
ABV,LHR
ABV,NDJ
ABV,KAN
ABV,SKO
ABV,SSG
ABV,YOL
ABV,ABB
ABV,ACC
ABV,BNI
ABV,CBQ
ABV,PHC
ABV,ENU
ABV,CDG
ABV,FRA
ABV,QOW
ABV,QRW
ABV,CAI
ABV,LOS
ABV,GMO
ABV,IBA
ABV,ILR
ABX,MEL
ABX,SYD
ABY,ATL
ABZ,AMS
