,population
YHO,2727.970185602788
PRA,1192027.6510263958
BQS,1089847.6729730912
DIL,1674586.5221513074
SFB,2575228.75608304
MAD,10884844.805099802
YVM,839.2043490362587
NTX,90019.33487885377
YCU,12806490.252740815
INV,249880.2362047609
KGD,1269000.1726842085
LBB,557807.025109465
TIV,567353.9858418362
BRE,2576350.439639456
ACH,341918.72487103305
KLW,3207.199878927805
JJU,1742.0683507292279
JKR,12627208.605976712
LMM,1113926.1219909005
KAZ,406863.0878489478
HPB,757.4783164488164
MGQ,3734495.046108636
IGR,1326361.1024580435
PMC,605510.9751463489
MPN,2680.4582699400007
GRO,1574315.3686888209
KIJ,3375267.739208257
PBZ,601762.5845946579
OUZ,77948.65355369268
YTL,467.4527452132945
BDB,59275.15919952793
KZI,187621.74812003414
INN,450910.9290990624
NLG,410.39832977281685
LKO,51263888.550506204
JQA,2868.622729688197
ALG,15755317.450981388
DIR,3437673.0222667907
MDQ,1202471.975853087
STR,4000233.2246014033
TNJ,192116.15765005138
TUN,5319400.261588667
CIT,2398948.045747037
HKN,295649.9461959036
WMN,1023354.7707475312
TRI,431452.2903127842
LAQ,372258.1976812565
MLN,714973.374240581
IXC,7385470.350285238
TAC,841307.5071747806
PTJ,47147.57823102876
WRG,4485.978212368403
KAJ,142631.0769086168
SHM,587182.799869339
UST,144423.29619778038
CDG,10839045.446403593
LEQ,103424.37862711564
HAS,802759.8419749113
YFJ,1429.137887589477
SDF,1768992.6699026527
YXU,673845.764232356
AVN,247073.6977791241
PGA,119291.05542951376
CVU,5250.686756933058
HAV,3191290.039153682
VAR,2664683.2419401417
YER,232.62473033735318
SGD,223896.26863279592
CLD,269869.26384208107
SCE,331439.2845112864
LBL,201689.6626999655
YXP,1374.2385649637415
BCN,5148389.916988446
PKU,6515209.02564205
CGI,245238.40574758765
DJG,30946.969533980355
ABI,137393.56393380844
DSN,4410793.299073273
HME,306307.55628914107
PEK,58649178.58455007
SSR,6604.159616233965
SID,100237.55466699724
SJT,245203.9696078484
WNR,539.558539174035
FEG,1390256.6506925635
TPQ,579829.5964766416
MTJ,60936.39177210885
SHA,18415313.019746147
SDJ,2366394.6399631524
BUZ,615075.8172122451
MSW,778072.3281451847
LUZ,1876918.1382017462
BVE,451130.5258940574
STM,520255.1346409234
IWJ,443439.86473235843
LPY,255357.44582294935
DMU,5534810.001647813
TUL,1471803.714285239
UDR,13355507.4059211
IXA,9237973.188911984
ATQ,11764957.963808365
HLN,100955.07941558283
IDA,207055.16342379613
CXB,1358954.7070368207
HOM,14706.037146243782
SPU,1394865.526836747
HHN,2257942.2863971186
CPC,330431.1381841795
BTT,305.59421145745495
NCU,2226407.8147082897
DNZ,266654.5485408466
YIH,10028968.550443696
SLZ,4626387.264495358
RNA,29116.133478728112
TXK,166084.03739058218
YAK,1286.4135900527335
BSL,3134357.581438463
ERS,312780.9778987225
KRP,125164.62354608314
TNW,536746.9377027471
YZP,1687.8543371673015
BOH,685927.907393852
RBR,464310.69589679845
GFF,78547.46730896077
RGK,507564.2326065006
IIL,3466851.682888538
TME,718766.887521432
LUO,695543.1399971015
AJF,371942.6947965127
NQN,875034.6954496114
JUL,1349754.1866954586
YPH,1395.665237942858
BFI,966590.337355732
SPI,296688.7577127333
DIN,1726413.1229791357
WAA,2368.30064978757
YQL,68904.98123339398
CJS,860121.7083194231
BLE,136921.69359700143
JUJ,844078.555630394
LYR,2687.197812009998
GLF,215544.742197045
SHV,320027.69950018893
CFC,608146.9044208621
FIH,8796298.698063638
MDT,736853.564935568
HAN,30706614.98345956
LHR,8336719.005630072
TRU,1538481.0434169997
TLS,2635768.279946451
GRU,16864455.040956136
RAH,336887.0317285159
GOU,5923209.8601444485
YSJ,141771.18407241564
MUE,15388.008441366315
OKA,1262106.501000393
HNM,34313.29945071393
KEJ,858977.6932120094
AGH,185272.6954086297
OLP,9137.625966083333
YUY,86659.59924940544
HRM,538117.1736803461
QOW,7273566.3099047225
ENA,14698.506181170327
GAM,1668.2373323334198
SNP,295.657132
ZAZ,477943.3913873878
KUO,140062.3628354696
PIE,1324199.1935132823
THU,307.98086469040766
SUB,24058738.43706953
ULO,129531.53524172989
LCX,2121183.890314724
AXT,1081750.7268467732
IQQ,359777.48697540787
ADL,1228213.2615238912
IGG,285.30844073254343
SDK,542276.8866014384
TGK,935365.176655798
SCW,551497.576931564
YRL,30480.519685146766
VIN,1111482.7365313966
ULP,1601.5694214890966
DOU,823846.5329984919
KAW,645910.541091373
YES,801165.6926447048
ASW,1059448.715675174
LGP,1170373.4617191209
KHI,31352559.73072804
SVQ,2447434.202961041
HAM,5161249.4499738
YVP,1935.3594640850367
TUS,877149.1584263581
THL,1184526.687893787
MGZ,1279766.0417433418
JBR,196443.1849600768
MMB,184648.69828389067
TOE,617309.6641989371
AVP,550734.3320781643
MKG,232674.0485905621
KNS,67225.81088388179
THX,20626.7682938112
ARU,998102.3332379713
SSY,975412.114825572
SRZ,1107761.8761297879
MZW,394374.4870777266
ELU,311703.21297426434
BDP,10591325.814028364
XBJ,845809.474379097
GUA,14326071.026417295
JTR,82651.2449121035
MZG,1180568.936016939
KSC,931562.6831396085
STZ,119408.32319832625
LIS,5658493.326339722
JGD,1431649.8863629175
GOH,16028.535124365915
MGM,328355.70152370003
YCD,129907.74569573865
SHG,274.2457811785713
VPS,359179.05393215397
RKA,803.2234025297676
CZX,7892522.701795942
TGH,5262.328728460257
YLW,327203.87821893784
CFU,1176213.12703718
GLH,335127.0655158772
JOG,20740656.023264684
CKZ,364435.5253070496
BSO,175077.16719109964
TAP,2188115.821772551
SKK,474.7532476044397
CBB,1550737.7251852208
TTJ,722190.93207179
LPA,978956.1349239836
YYY,132307.36584464018
TLC,3851659.7029751423
CPD,4581.993125783333
YEG,2043239.8873294475
SKO,18892526.24895397
JST,279733.6323361791
UNG,399134.0226551274
FLO,170833.56078998005
AYT,3037813.2175576226
PBM,672351.4762432595
KIF,134.7297032200697
OUL,159684.49756186013
TAB,189835.2067852691
AXP,53131.35010984005
IRK,218784.03878119867
VNO,3653270.865713796
MUA,27032.545971023457
CHC,443623.13011564576
EAS,333701.82886570005
DME,13459812.27367374
YAT,1275.4746995051567
WAE,324387.2222325425
WTK,419.3631696302928
IOS,961825.5109565116
BCI,2142.9547197903594
USK,131716.55545052805
NDB,174577.13566597571
RNS,668983.4372484245
YPW,57283.84216873112
POL,2463600.719145288
ALF,24608.293694034972
DNK,3875892.1005799607
HFT,29921.99539439805
DRG,773.2914690888504
FUK,4979027.4667312885
MGH,1258279.9342587623
NYM,74349.97959770891
HRO,231634.59034203851
GLA,2162501.718671045
BJR,3991388.165708703
BNI,7933694.204666718
RNO,626184.8932608864
HOE,460740.1070381621
ZNZ,3527250.237467629
SMK,313.09081237280037
BRR,49850.509853682335
STS,375214.27622387104
AAX,493762.0375197587
DOL,224159.77375138007
SOW,219793.04769507554
HID,8646.503381214343
COQ,87676.50334369691
XUZ,17652356.68991269
CID,605229.7761550692
BUC,1301.1904923147688
NAW,681787.4198127816
GAJ,974398.2793998291
AOK,46090.569808499786
XTG,1261.849869822183
KWA,14941.609034000005
DBO,120472.30697854735
TNG,1584412.4626492646
KBU,980349.27968691
AQP,1812118.941526952
ACR,74052.57256778386
WMR,348383.2075729325
CBQ,5865547.650007636
TSR,1493923.7449271644
RZR,1245260.300214332
HGH,24457884.22569068
BTR,458491.20921784826
SVZ,589027.5785354587
SWJ,9277.245472049955
AUK,586.414791807104
KBV,963595.8743237724
IRA,16719.693296279183
EZS,1343038.193713867
AZO,354175.6281616033
EDI,2853503.1721811118
CRA,973101.3583913944
DIB,5841376.700110819
YWJ,364.80998291508973
STD,842343.5264078064
ODY,633716.5778178453
EAM,1439774.1533937587
WRY,29495.819874683682
PBJ,8282.609959538726
VRA,1052645.4879458663
SCY,17422.404323004354
BYC,362646.2899629336
YQC,611.9217839132095
HJR,13350159.062892387
GIB,773848.6133284519
PMF,356110.98359556706
IAO,407954.06840507494
DLC,10984072.4415244
OLF,23863.90674962869
ZFN,518.4251669991752
NWI,518824.97325199813
DQA,3036278.632517233
PYH,145408.31565505321
GPA,179545.54711741034
HVD,119173.2759147776
WRE,109288.94977125878
LSP,985754.8226599984
CEK,1448990.7561316902
ROB,3329692.8904838976
QUO,3615358.013007997
LDS,2217281.763378229
PLW,2311467.241677016
LGL,233210.0949248941
KZN,4486415.721882129
GUM,130036.22244472393
CED,7092.592085891668
DYR,16180.451407499993
FUO,932681.7627447513
VRN,1238865.3465179352
MID,1864708.560216793
IXU,20572649.97875042
YRT,3085.8006964964284
CHU,317.6965647523549
LDY,179728.35766907738
TSH,6625233.3260092465
UAK,1912.1337025184714
SFJ,4970.484033429716
TIF,1330395.906346057
GVR,1261208.9866293694
DNH,457475.1616276626
BHK,3158623.1248102468
WGP,454127.30170072103
SXX,95616.6721736921
TLL,928160.5639774622
MCP,494338.20035218744
CPV,1927061.2510125053
EDR,804.4158705348973
ERF,483956.9881750188
MBI,6474856.673770377
HVR,38864.32561105172
BFD,270108.32798890816
KTN,32818.13578081048
AGP,7472988.402124663
HMV,17199.895141251684
ACX,3067450.0284706787
BOG,13817794.752485033
GIZ,2455318.357895052
BVH,262707.7154433334
ADD,38098998.29319613
DPS,10263933.560243888
AGT,849843.0893166658
PDA,127251.54995599863
LWN,440695.21614440397
AGA,1761543.3735924915
MJV,1367099.6409187177
PHL,7776919.203855477
YZZ,115196.72774748807
HAC,2403.5875979599273
GAF,334002.8015236669
GOQ,448105.1685366533
HGR,215552.83859974038
CJU,1281688.7933877886
PPQ,61645.504987035965
FAI,59830.359026283455
CZS,202504.16385758203
TSF,1631184.6900456203
XQP,227242.6499789957
BNN,32444.404724814893
MGW,229576.5252079002
QRW,6629990.558139162
MSQ,5251849.3636313
IUE,1390.2648
UIB,954627.7076146256
VEE,10616.574770502255
SZB,3962385.915975057
JIU,2927297.182500972
TIA,1214573.265519377
NVI,2324618.210492352
KAL,181.9214936753421
CKS,666252.0992507121
YFB,6960.010611809966
TSV,223360.07818580087
BFF,59885.796545906924
TNC,620.2048631694612
NLD,968763.3054712922
NTQ,573692.4756833715
IOM,867435.7405887784
ELM,306951.2027715541
TKP,594.4061865522152
TSA,2027109.537655364
PXU,1838073.1460900768
PLZ,1248786.145300906
GRJ,611705.0181342801
MDL,8025834.666899436
USM,1084181.6327437577
BKZ,3161453.4686938813
HAQ,66295.13866231349
CIP,2288893.2538236408
NNG,19219241.20321865
CDR,78384.17273759253
EYW,635580.264733737
ZGS,14736.435032572932
SUX,231190.53278446585
MLY,5282.948375146953
ELS,2268185.678914484
AYP,1014045.9003967096
GBT,1481653.101604703
ANI,1681.548734519842
RVE,950259.1223608357
KOE,1784253.2596417558
AQJ,157073.19886490938
NOP,565364.5195008594
AXU,3342659.911005335
TRV,9218119.62362825
MXP,6433888.95812188
RJK,404585.40370272077
MCT,2165377.279247202
ZNE,6347.373152797298
OZC,1825357.1655455052
MOF,816007.1133129762
YSG,1678.9654879160737
MAQ,1077671.2180695569
EJH,74691.36115366584
WVB,193317.69447135067
BZO,237761.28876667013
PBI,513098.1795342735
BJL,3884883.752476375
RAP,153890.49354709632
BMY,5515.3237683060215
YNG,284790.29244392924
RIC,1039931.4319024438
WRO,3854958.9283830817
